,text,user,location
122," Και βγαίνει λέει ο Χαρδαλιας και λέει Κορονοιος είναι ένας επικίνδυνος ιός,μας εξαπάτησε με το βαθύ υποκριτικο του ταλ…",filimonagis,Ελλάς
123,"Κορονοϊός: Στο ""κόκκινο"" τα νοσοκομεία της Αττικής - Μόλις 13 κλίνες διαθέσιμες στις ΜΕΘ ",enikos_gr,Greece
124, Βρειτε εδώ το Link για την έκτακτη Συνέντευξη Τύπου για τον θάνατο του συναδέλφου μας και τα δεκάδες #κρουσματα σε καταστήματα…,manos24003498,πειραιας
125,"Σήμερα λόγω δουλειάς θα πάρω δύο ΚΤΕΛ, μετρό και ηλεκτρικό.Να δω πως θα γυρίσω... 🤪😜#κορονοϊός...",Yiakan,Ελλάδα (Greece)
126,Κορονοϊός: Προς παράταση το lockdown – Τα σενάρια και οι ημερομηνίες για λιανεμπόριο και σχολεία  μέσω ,dimitraef,Athens
127,Κορονοϊός: Προς παράταση το lockdown – Τα σενάρια και οι ημερομηνίες για λιανεμπόριο και σχολεία  via ,HealthReport2,"Attiki, Greece"
128,"Παυλάκης - κορονοϊός: «Μούφα lockdown, θα είναι τρέλα να ανοίξουν αγορά, σχολεία» … ",Gkourou_gk,
129, Σήμερα ανακοινώθηκαν πάνω από 2000 #κρουσματα Καθόλου περίεργο όταν ο  αυτές τις μέρες αναφέρεται σε ραγδαία αύξηση…,manos24003498,πειραιας
130, Σήμερα ανακοινώθηκαν πάνω από 2000 #κρουσματα Καθόλου περίεργο όταν ο  αυτές τις μέρες αναφέρεται σε ραγδαία αύξηση…,kostashatzis5,"Αττική, Ελλάς"
131,Κορονοϊός: Τρομακτικό βίντεο αποκαλύπτει πώς μεταδίδεται ο ιός με την ομιλία - ,newsbombgr,
132,"Παυλάκης - κορονοϊός: «Μούφα lockdown, θα είναι τρέλα να ανοίξουν αγορά, σχολεία» ",ethnosgr,2ο χλμ. Μαρκοπούλου - Παιανίας
133, Eπιτελους καποιος να τα πει .#κορονοιος #κορονοϊος ,kostas_athens2,
134,Κορονοϊός: Η κατάσταση στα δυο νοσοκομεία της Πάτρας -  ,DeteGrPatras,"Patras, Greece"
135, Ευτυχώς π γύρισε ο Ερντογάν με τ παπόρια του στο Αιγαίο κ υπάρχει μια εναλλαγή στα δελτία διότι είχε αρχίζει να κουράζει…,johndelint1,
136,Ο αριθμός των κρουσμάτων έχει να κάνει με τα Τεστ! Όσο πιο πολλά τεστ τόσο πιο πολλά κρούσματα και τούμπαλιν! Δυστυ… ,ellada_fix,
137,Κορονοϊός: Η Ρωσία ανακοίνωσε 11.823 νέα κρούσματα και 417 θανάτους ,capitalgr,"Athens, Greece"
138,Κορονοϊός: Τρομακτικό βίντεο αποκαλύπτει πώς μεταδίδεται ο ιός με την ομιλία -  ,coffeeradiogr,Greece
